Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	ОПТИЧЕСКИЕ ШНУРЫ	Unnamed: 8	Unnamed: 9
									
									
									
									
									
									
									
Артикул		Оптические пигтейлы			Цена сайт				
									
		Патчкорд FTTHD-FRP1,8-SC/APC-190м	шт		13233.900000000001	14230	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-200м	шт		13494.300000000001	14510	под заказ		
									
Артикул		Патчкорд абонентский самонесущий FTTHSC 							
									
		Патчкорд FTTHSC-SC/APC-10м	шт		4482.6	4820	под заказ		
		Патчкорд FTTHSC-SC/APC-15м	шт		4622.1	4970	под заказ		
		Патчкорд FTTHSC-SC/APC-20м	шт		4770.900000000001	5130	под заказ		
		Патчкорд FTTHSC-SC/APC-25м	шт		4910.400000000001	5280	под заказ		
		Патчкорд FTTHSC-SC/APC-30м	шт		5049.900000000001	5430	под заказ		
		Патчкорд FTTHSC-SC/APC-35м	шт		5403.3	5810	под заказ		
		Патчкорд FTTHSC-SC/APC-40м	шт		5766	6200	под заказ		
		Патчкорд FTTHSC-SC/APC-45м	шт		6575.1	7070	под заказ		
		Патчкорд FTTHSC-SC/APC-50м	шт		6965.700000000001	7490	под заказ		
		Патчкорд FTTHSC-SC/APC-55м	шт		7142.400000000001	7680	под заказ		
		Патчкорд FTTHSC-SC/APC-60м	шт		7319.1	7870	под заказ		
		Патчкорд FTTHSC-SC/APC-65м	шт		7495.8	8060	под заказ		
		Патчкорд FTTHSC-SC/APC-70м	шт		7923.6	8520	под заказ		
		Патчкорд FTTHSC-SC/APC-75м	шт		8109.6	8720	под заказ		
		Патчкорд FTTHSC-SC/APC-80м	шт		8286.300000000001	8910	под заказ		
		Патчкорд FTTHSC-SC/APC-85м	шт		8472.300000000001	9110	под заказ		
		Патчкорд FTTHSC-SC/APC-90м	шт		11057.7	11890	под заказ		
		Патчкорд FTTHSC-SC/APC-100м	шт		11439	12300	под заказ		
		Патчкорд FTTHSC-SC/APC-110м	шт		11829.6	12720	под заказ		
		Патчкорд FTTHSC-SC/APC-120м	шт		12210.900000000001	13130	под заказ		
		Патчкорд FTTHSC-SC/APC-130м	шт		12592.2	13540	под заказ		
		Патчкорд FTTHSC-SC/APC-140м	шт		12982.800000000001	13960	под заказ		
		Патчкорд FTTHSC-SC/APC-150м	шт		13364.1	14370	под заказ		
		Патчкорд FTTHSC-SC/APC-160м	шт		13754.7	14790	под заказ		
		Патчкорд FTTHSC-SC/APC-170м	шт		14963.7	16090	под заказ		
		Патчкорд FTTHSC-SC/APC-180м	шт		15372.900000000001	16530	под заказ		
		Патчкорд FTTHSC-SC/APC-190м	шт		15782.1	16970	под заказ		
		Патчкорд FTTHSC-SC/APC-200м	шт		16191.300000000001	17410	под заказ		
