Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10
										
										
										
										
										
										
										
										
			545	0.0	545					
										
		Наименование товаров	Розница		Розница	Дилер				
		Краткое описание характеристик	KZT		USD	USD				
		01. Радиостанции гражданского диапазона 27МГц(СВ)								
		1.1 Автомобильные и базовые радиостанции диапазона 27МГц								
45.0		Р/ст НУКЕР (AnyTone AT-3308) 400-480МГц, 5Вт, Li-Ion 1600мАч, гарнитура  Гарантия 2 года!	38431.90125		70.51725	58.13999999999999				
47.0		Р/ст Climbmax EM-9735 136-174МГц 5Вт, Li-Ion 1500мАч, зарядное устройство, гарантия 1 год	30618.1		56.18	46.82				
1229251125.0		Р/ст Quansheng TK-11(5) 25-29.8 МГц,50-54 МГц, 136-174 МГц, 350-490 МГц, 0.15-1160МГц прием, 10Вт, Li-Ion 2500mAh, з/у, гарантия 6 мес	39398.05		72.29	60.24				
1230251125.0		Р/ст Quansheng TK-11(8) 25-29.8 МГц,50-54 МГц, 136-174 МГц, 350-490 МГц, 0.15-1160МГц прием, 10Вт, Li-Ion 3000mAh, з/у, гарантия 6 мес	43899.75		80.55	67.12				
48.0		Р/ст AnyTone AT-298  400-480МГц 6.5Вт, Li-Ion 2200мАч, зарядное устройство  Гарантия 2 года!	45388.4175		83.28150000000001	63.27				
49.0		Р/ст AnyTone AT-298  136-174МГц 6.5Вт, Li-Ion 2200мАч, зарядное устройство  Гарантия 2 года!	45388.4175		83.28150000000001	63.27				
50.0		Р/c ALINCO DJ-A41  400-470МГц, 5Вт, Li-Ion 1500мАч, IPX54,  MIL-STD-810G, зарядное устройство 	46832.94		85.932	70.1575				
51.0		Р/ст AnyTone AT-289 400-480МГц 5Вт, Li-Ion 1800мАч, зарядное устройство  Гарантия 2 года!	47897.325000000004		87.885	67.545				
52.0		Р/ст AnyTone AT-289 136-174МГц 5Вт, Li-Ion 1800мАч, зарядное устройство  Гарантия 2 года!	47897.325000000004		87.885	67.545				
53.0		Р/ст Quansheng TG-1680, 400-480МГц, 8Вт, Li-Pol 3500мАч, зарядное устройство. гарантия 1 год	46226.899999999994		84.82	64.98				
54.0		Р/ст Quansheng TG-1680, 136-174МГц, 8Вт, Li-Pol 3500мАч, зарядное устройство, гарантия 1 год	46226.899999999994		84.82	64.98				
55.0		Р/ст AnyTone AT-288 400-470МГц 5Вт, Li-Ion 1800мАч, зарядное устройство  Гарантия 2 года!	49265.82		90.396	69.255				
56.0		Р/ст AnyTone AT-288 136-174МГц 4Вт, Li-Ion 1800 мАч, зарядное устройство  Гарантия 2 года!	49265.82		90.396	69.255				
1714090119.0		Р/ст Luiton LT-199H, 400-480МГц, 12Вт, Li-Ion 2800мАч, зарядное устройство, гарантия 1 год	40024.799999999996		73.44	61.2				
57.0		Р/с ALINCO DJ-A40 400-470МГц, 5Вт, Li-Ion 1500мАч, IPX54, MIL-STD-810G, зарядное устройство 	49627.700000000004		91.06	69.77				
1730021122.0		Р/ст StarNet S-400 400-480МГц 10Вт, Li-Ion 2800мАч, IP66, Зарядное устройство, гарантия 1 год	50663.2		92.96	77.47				
1452020623.0		Р/ст StarNet S-400V 136-174МГц 10Вт, Li-Ion 2800мАч, IP66, Зарядное устройство, гарантия 1 год	50663.2		92.96	77.47				
60.0		Р/ст AnyTone AT-3318UV двухдиапазонная 136-174/400-480МГц, КВ+СВ+авиадиапазон, 5Вт, Li-Ion 1800мАч зарядное устройство  Гарантия 1 год!	57666.450000000004		105.81	88.18				
58.0		Р/ст AnyTone AT-289P влагозащищенная (IP67)  400-480МГц 5Вт, Li-Ion  1800мАч зарядное устройство  Гарантия 2 года!	57699.15		105.87	84.7				
59.0		Р/ст AnyTone AT-289P влагозащищенная (IP67) 136-174МГц 5Вт, Li-Ion 1800 мАч зарядное устройство  Гарантия 2 года!	57699.15		105.87	84.7				
61.0		Р/ст AnyTone AT-398UVA двухдиапазонная 136-174/400-480МГц, , 7Вт, Li-Ion 2200мАч зарядное устройство  Гарантия 1 год!	65045.75		119.35	95.48				
28.0		2.2. Радиостанции портативные цифровые/аналоговые								
1712090920.0		Р/ст Baofeng DM-V1 400-470МГц, DMR/analog, Tier I&II, 200 каналов, 2 Вт, Li-Ion 2000мАч, з/у, гарнитура, гарантия 6 мес	30885.15		56.67	45.34				
