Наименование товаров	Розница			
Краткое описание характеристик	KZT			
01. Радиостанции гражданского диапазона 27МГц(СВ)				
Sirio SDB 270 Black автомобильная двухдиапазонная врезная антенна 137-152/415-455 МГц (Италия)	23 391			
4.3. Антенны базовые диапазона 27 МГц.				
SD-BA27 антенна базовая 26-28МГц, 5/8, 5.4м, 3.5dBi   UHF (F)	30 918			
SIRIO GPS-27 антенна базовая 26.4-29МГц, 1/2, 5.95м, 750Вт, 2.15dBi 	71 618			
SIRIO GPE-27 антенна базовая 26.4-29МГц, 5/8, 5.95м, 750Вт, 3.35dBi, 3 противовеса	66 343			
SIRIO TORNADO 27 NEW антенна базовая 26-28МГц, 5/8, 7.23м, 3.5dBi, 1000Вт, 4 противовеса 	83 516			
SIRIO SY-27-4 антенна базовая направленная Yagi 4-элементная 26-28МГц, 13.5dBi, 3000Вт РЕР	136 975			
SIRIO 827 антенна базовая 26-29МГц, 5/8, 6.7м, 1000Вт, 3.65dBi, 8 противовесов	121 780			
4.4. Антенны базовые УКВ диапазона				
SDY-450 антенна базовая Yagi 6 элементов 450-470МГц 9dBi SMA(F) 	15 042			
AX-410Y  антенна базовая направленная 430-470МГЦ 10.5dBi N(f)	19 364			
SD-MRF120C-UF базовая антенна 420-470MHz  4dBi N (F)	23 179			
DB-U9401 антенна морская 450-470МГц, 5дБ, 40Вт, кабель 5 м, UHF	32 373			
Sirio SD-FM 87-194МГц диполь 1/2 волны, 4 dBi, 300Вт	47 579			
BC-100 антенна базовая 134-174МГц, 4.5dBi, 1.7м, 200Вт, UHF-тип	34 411			
BC-200L антенна базовая 370-430МГц, 5.5dBi, 1.7м, 200Вт, N-Тип	38 913			
BC-200 антенна базовая 430-490МГц, 6.5dBi, 1.7м, 200Вт, N-тип	38 913			
Sirio GP 365-470 C базовая антенна 365-470МГц 4.65дБ 150Вт	43 131			
SD YV5B антенна базовая Yagi 5 элементов 149-161МГц 9dBi 100Вт	42 821			
SD D-130 антенна базовая дискоконусная 25-1300МГц 200Вт	54 814			
SDFB2.5 антенна базовая 144/430 МГц, 8.5/10.5 dBi, 2.5 м, 150 Вт, N-тип	52 342			
F-22 антенна базовая 144-174МГц, 6.7dBi, 3.2м, 100Вт, UHF-тип	58 026			
Sirio SD-1300 антенна дискоконусная 25-1300МГц 300Вт (VHF)/200Вт (UHF)	70 245			
Sirio SPO-420-5 Антенна базовая 420-470МГц, 5.15dBi, 1.38м, 75Вт базовая/морская	84 715			
Sirio WY 300-4N Антенна базовая Yagi 4 элемента 300-500 MГц 8dBi N-Тип	73 848			
Sirio WY 136-4N Антенна базовая Yagi 4 элемента 136-174 МГц 7.5dBi N-тип	90 252			
F-23 антенна базовая 144-174МГц, 7.8dBi, 4.6м, 200Вт, UHF-тип	72 185			
4.5. Антенны WIFI, GSM, 3G, 4G, LTE и аксессуары				
4G-CPE-ANT Антенна внутренняя 698-960/1710-2700MHz  3.5dBi  SMA(m) 	3 107			
SD-XD3 антенна внутренняя 698-2700MHz  3.5dBi  N (F)	7 843			
MMA-GU-23-3m Антенна наружная 3G для CU-30 1920-2170МГц 9dBi с кабелем 3м	9 668			
Nitsa-1 антенна внутренняя 790-2700MHz  3dBi  N (F)	10 410			
AX-1817Y Направленная антенна типа Yagi GSM-1800 LTE 1800, 17dBi, N-female	10 655			
AX-914Y Направленная антенна типа Yagi GSM-900 LTE 900 14dBi, N-female	11 963			
