Код	Артикул	Наименование	Полное наименование	Цена дил.	Цена уцен.	Процент	Причина	Остаток	Заказ
58262y	CT-2303	Парогенератор Centek CT-2303	Парогенератор, Centek, CT-2303, 3000Вт, 8Бар, 560/160 г/мин, Алюм бойлер, Автовыкл, Керамика, Самоочистка, Синий	89242.0	51200.0	43%	Вскрыта и повреждении и замятие упаковки. Потёртости и царапины.	1.0	
Отпариватели для одежды									
65360y	КТ-947	Отпариватель ручной Kitfort КТ-947	Отпариватель ручной, Kitfort, КТ-947, Объем 150 мл, Температура 140 °, Подача пара 25 г/мин, Мощность 1200 Вт, Черный	22790.0	10400.0	54%	повреждена упаковка	1.0	
62312y	КТ-9110-3	Отпариватель ручной Kitfort КТ-9110-3 бело-бирюзовый	Отпариватель ручной, Kitfort, КТ-9110-3, Мощность 2180 Вт, Интенсивность подачи пара 45 г/мин, Объем бака для воды 600 мл, Цвет Бело-бирюзовый	58290.0	31200.0	46%	Нет товарного вида, повреждение упаковки	1.0	
53274y	SC-GS135S04	Отпариватель ручной Scarlett SC-GS135S04	Отпариватель ручной, Scarlett, SC-GS135S04, Мощность 1400 Вт, Резервуар для воды, 200 мл, Регулируемый пар до 50 г/мин, Готовность к работе, 25 сек, Длина электрошнура, 1.6 м, Покрытие подошвы пластик, Синий	11990.0	6640.0	45%	8 шт - поврежденная коробка. 1 шт - Потеря товарного вида, следы попадания влаги.  1 шт -  Потеря товарного вида, повреждение упаковки. 	10.0	
49765y	1830007411	Отпариватель ручной Tefal DT7005E0	Отпариватель ручной, Tefal, DT7005E0, Мощность 1100 Вт, Подача пара 17 г/мин, Резервуар для воды 150 мл, Время работы 8 мин, Белый-бордовый	47990.0	19200.0	60%	Потертости, царапины, загрязнения на устройстве и аксессуарах.	2.0	
33832y	DEM-HS007	Отпариватель ручной Deerma Portable garment steamer HS007	Отпариватель ручной, Deerma, HS007, Portable garment steamer, Разогрев за 10 секунд, Складной и удобный для транспортировки корпус, Уничтожение до 99,99% бактерий	21990.0	8000.0	64%	"1 - вскрытая упаковка
1 - Вскрытая упаковка. Загрязнения. Следы эксплуатации.
1 - Вскрытая упаковка. Потёртости.
1 - Замятие упаковки, небольшое замятие щетинок на насадке.
1 - Вскрытая упаковка. Потёртости.
1 - Упаковка всккрыта. Потёртости."	6.0	
70298y	ZQGTJ03KL	Отпариватель ручной Xiaomi Standing Garment Steamer Белый	Отпариватель ручной, Xiaomi, Standing Garment Steamer, (BHR9027EU/ZQGTJ03KL), 230 мл, 2400 Вт, Белый	38935.0	34845.0	11%	1 - Повреждена упаковка.Небольшие потертости. Без следов эксплуатации. Полный комплект. Акт 82045	1.0	
Аксессуары для пылесосов									
56549y	B112-ZS	Основная щётка для робота-пылесоса Xiaomi Robot Vacuum E10	Основная щётка для робота-пылесоса, Xiaomi, B112-ZS (BHR6916GL), ), для модели Robot Vacuum E10, Оранжевый	2700.0	2000.0	26%	"28/11/2024 - 1 - Повреждение упаковки.
"	1.0	
56539y	B106GL-ZX	Основная щётка для робота-пылесоса Xiaomi Robot Vacuum S10	Основная щётка для робота-пылесоса, Xiaomi, B106GL-ZX (BHR6528GL), для модели Robot Vacuum S10, Оранжевый	2800.0	2000.0	29%	1 - поврежденная упаковка 	1.0	
56506y	B106GL-TB	Насадка для влажной уборки робота-пылесоса Xiaomi Robot Vacuum S10 (2 шт в комплекте)	Насадка для влажной уборки робота-пылесоса, Xiaomi, B106GL-TB (BHR5328TY), для модели Robot Vacuum S10, 2 шт в комплекте, Серый	3792.0	3150.0	17%	"28.10.2024 - 1 - Небольшое замятие упаковки.
"	1.0	
72570y	RSB14	Боковая щётка для робота-пылесоса Dreame Robot Vacuum RSB14	Боковая щётка для робота-пылесоса, Dreame, RSB14, для моделей X40 Ultra,L40 Ultra,X40 Master,X40 Pro Ultra,X50 Ultra series,X50 Master,L50 Pro Ultra,L50 Ultra,L40s Ultra,L40s Pro Ultra	3781.0	0.0			1.0	
65156y	RHF8	Фильтр для робота-пылесоса Dreame Robot Vacuum RHF8	Фильтр для робота-пылесоса, Dreame, RHF8, для моделей L20 Ultra/L30 Ultra	3055.0	1158.0	62%	Вскрыта и повреждение упаковки.	1.0	
Блендеры									
37426y	DEM-JS100	Беспроводной измельчитель Deerma JS100 Синий	Беспроводной измельчитель, Deerma, JS100, Беспроводной и компактный, 28000 об/мин, Объем чаши 150 мл, Емкость аккумулятора 1500 мАч, Зарядка через USB-Type C, Время зарядки до 2 часов, 30 циклов работы от одного заряда, Контроль степени измельчения, ABS-пластик	6200.0	5700.0	8%	"1 - Слабо заметные потертости
1 - Повреждена упаковка, следы экплуатации.
1 - поврежденная упаковка
1 - Вскрытая упаковка. Потёртости."	4.0	
77550y	MJPBJ01DEMEU	Блендер Xiaomi Blender Pro EU	Блендер, Xiaomi, BHR07QSEU, Blender Pro, Белый	40012.0	36016.0	10%	1 - повреждение коробки 	1.0	
48898y	RFP-3909	Кухонный комбайн Redmond RFP-3909	Кухонный комбайн, Redmond, RFP-3909, Мощность 1500 Вт, 2 скорости, Объем чаши 1,2 л, Объем кувшина 1,8 л, Мультисистема 8 в 1, Черный	98990.0	30000.0	70%	повреждена упаковка	1.0	
58062y	BH401	Погружной блендер Redmond BH401	Погружной блендер, Redmond, BH401, Погружной, Электромеханичесое управление, 6 скоростей, Скорость работы 12000–15000 об/мин, Режим турбо, Плавная регулировка скорости, Серый	48990.0	9000.0	82%	2 шт - повреждение упаковки. 1 - шт Повреждение упаковки, потертости. Не работает измельчитель.	2.0	
55418y	SC-HB42S08	Погружной блендер Scarlett SC-HB42S08	Погружной блендер, Scarlett, SC-HB42S08, тип погружной, мощность 50Вт, материал корпуса пластик, скорость работы 13000 об*мин, количество скоростных режимов 1, длина электрошнура 1м, белый	4900.0	3200.0	35%	повреждена упаковка	5.0	
55420y	SC-HB42F65	Погружной блендер Scarlett SC-HB42F65	Погружной блендер, Scarlett, SC-HB42F65, Тип погружной, Мощность 700W, Количество скоростных режимов 1,Скорость работы 15000об/мин, Длина электрошнура 1.2м, Белый	11490.0	6400.0	44%	Небольшое замятие упаковки	1.0	
55419y	SC-HB42F08	Погружной блендер Scarlett SC-HB42F08	Погружной блендер, Scarlett, SC-HB42F08, Тип погружной, Мощность 900 Вт, Количество скоростных режимов 2, Материал корпуса пластик, Длина электрошнура 1м, Цвет черный	14882.0	6400.0	57%	13 шт - Повреждение упаковки, 1 шт - Повреждение упаковки, нет венчика в комплекте	8.0	
39728y	DEM-JR08	Беспроводной мини-комбайн Deerma Wireless Food Processor JR08	Беспроводной мини-комбайн, Deerma, Food Processor DEM-JR08, Мощность 220 Вт, Объемы чаш: 0.8, 1.0, 1.2 л, Функции: измельчение, нарезка, взбивание, очистка чеснока, Синий	22990.0	20000.0	13%	"1 - Замятие упаковки, есть небольшие царапины и потертости на корпусе.
1 - Уценка: С витрины. Вскрыта коробка. 
1 - Замятие паковки, есть небольшие потертости и царапины.
1 - Замятие упаковки
 1- Вскрыта коробка, небольшие потёртости на устройстве
1 - Вскрыта коробка, повреждена коробка, отсутствует внутренний транспортировочный пакет"	6.0	
69739y	КТ-3019	Блендер стационарный Kitfort КТ-3019 «3 в 1»	Блендер стационарный, Kitfort, КТ-3019, «3 в 1», Максимальная мощность 500 Вт, Импульсный режим, Колка льда , Градуированная шкала, Полезный объем кувшина 1.5 л , Цвет белый	21890.0	12000.0	45%	повреждена упаковка	1.0	
Блинницы									
48895y	RSM-1409	Блинница погружная Redmond RSM-1409 Черный	Блинница погружная, Redmond, RSM-1409, Мощность 800 Вт, Диаметр рабочей пластины 200 мм, Антипригарное покрытие, Индикация, Черный	22990.0	9000.0	61%	 Потертости, царапины, загрязнения на устройстве и аксессуарах.	1.0	
Вафельницы									
57693y	КТ-1619	Вафельница для детских вафель Kitfort КТ-1619	Вафельница для детских вафель, Kitfort, КТ-1619,Мощность 640 Вт,Съёмные панели нет,Длина шнура 0,7 м	10790.0	6000.0	44%	Повреждение коробки	1.0	
Мультиварки									
77899y	MYL02-1	Электрическая скороварка Xiaomi Electric Pressure Cooker 4.8L Белый	Электрическая скороварка, Xiaomi, Electric Pressure Cooker 4.8L, (MYL02-1), 1000 Вт, 70 кПА, 4,8 литра, Белый	54685.0	50284.0	8%	1 - Повреждение упаковки. Загрязнение и потёртости. акт 82050	1.0	
77928y	MEH01	Многофункциональная мультиварка Xiaomi Multifunctional Hot Pot Cooker 6L Белый	Многофункциональная мультиварка, Xiaomi, Multifunctional Hot Pot Cooker 6L, (MEH01), Ном. мощность 2000 Вт, Частота 50-60 Гц, 6 литров, Белый	35709.0	32663.0	9%	1 - Повреждение упаковки. акт 81908	1.0	
68542y	RMC-M95	Мультиварка Redmond RMC-M95 Черный	Мультиварка, Redmond, RMC-M95, 17 автоматических программ, Объем чаши 5л, Автоподогрев, Отложенный старт, Пастеризация, Сенсорное управление, Таймер, Мощность 1000 Вт, Длина шнура 1м, Черный	85990.0	25000.0	71%	Повреждение упаковки, после СЦ. Есть потертости и царапины	1.0	
Настольные плиты									
51350y	CT-1522	Газовая плита Centek CT-1522 Белый	Газовая плита, Centek, CT-1522, 3 конфорки, БЕЗ сменных форсунок, Белый	11892.0	6320.0	47%	1 - Повреждение упаковки, нет одного жиклера для природного газа. (2 в комплекте)	1.0	
36231y	Электроплита &quot;ТеплЭко&quot; (черная)	"Электроплита ""ТеплЭко"" (черная)"	"Электроплита ""ТеплЭко"" , Тип обогревателя кварцевый, Максимальная мощность энергопотребления (Вт) 400 Вт, Цвет черный"	30500.0	19000.0	38%	1 - повреждена упаковка	1.0	
Пароварки и сушки									
69118y	КТ-1989	Сушилка для овощей и фруктов Kitfort КТ-1989	Сушилка для овощей и фруктов, Kitfort, КТ-1989, 14 поддонов, 7 сеток, 3 режима, Температура нагрева 35-75 °C, Таймер 24ч, Конвекционный нагревательный элемент, Горизонтальный обдув, Расстояние между поддонами 23 мм, Мощность 500 Вт, Длина шнура 0.9м, Стальной	72890.0	48000.0	34%	2 шт - Небольшое повреждение коробки	2.0	
Планетарные миксеры									
57317y	КТ-1370	Планетарный миксер Kitfort КТ-1370 (5 в 1)	Планетарный миксер, Kitfort, КТ-1370, (5, в, 1),Мощность 1200 Вт,Ёмкость чаши 5,6 л,Материал чаши нержавеющая сталь,Ёмкость чаши блендера 1,5 л	137990.0	68000.0	51%	Повреждение и замятие упаковки.	1.0	
62314y	КТ-3413	Планетарный миксер Kitfort КТ-3413	Планетарный миксер, Kitfort, КТ-3413, Максимальная мощность 2000 Вт, Материал корпуса металл, пластик, Материал чаши нержавеющая сталь, Емкость чаши 10 л	166490.0	96000.0	42%	повреждена упаковка	1.0	
57305y	КТ-1348-1	Планетарный миксер Kitfort КТ-1348-1 (красный)	Планетарный миксер, Kitfort, КТ-1348-1, (красный),Мощность 1200 Вт, Ёмкость чаши 7 л	98390.0	56000.0	43%	Потертости, царапины, загрязнения на устройстве и аксессуарах. Отсутствует внутренний упаковочный материал.	1.0	
Тостеры									
55557y	23681036002	Тостер Russell Hobbs 24371-56	Тостер, Russell Hobbs, 24371-56, Мощность 1050W, 2 отделения, 6 режимов обжаривания, Пластик, Подогрев, Размораживание, «Пауза» во время приготовления, Черный	34990.0	25635.0	27%	"Повреждение упаковки, мелкие царапины
"	2.0	
55561y	25025036001	Тостер Russell Hobbs 26430-56	Тостер, Russell Hobbs, 26430-56, Мощность 1670W, 2 отделения, 6 режимов обжаривания, Нержавеющая сталь, Подогрев, Размораживание, «Пауза» во время приготовления, Подъем маленьких тостов, Черный	48990.0	37038.0	24%	Вскрыта и повреждении и замятие упаковки. Потёртости. 	1.0	
55560y	25017036001	Тостер Russell Hobbs 26210-56	Тостер, Russell Hobbs, 26210-56, Мощность 1640W, 2 отделения, 6 режимов обжаривания, Нержавеющая сталь, Подогрев, Размораживание, «Пауза» во время приготовления, Автоцентрирование, Подъем маленьких тостов, Таймер, Стальной	63790.0	38899.0	39%	Вскрыта и повреждении и замятие упаковки. Потёртости.	1.0	
56803y	КТ-2014-3	Тостер Kitfort КТ-2014-3 красный	Тостер, Kitfort, КТ-2014-3, красный, Мощность 720-850Вт, 2 слота для тостов, 7 степеней поджаривания тостов, Металл, Механический тип управления, Подогрев, Размораживание, Красный	19790.0	10400.0	47%	Повреждение упаковки. Загрязнение и потёртости	1.0	
Фритюрницы									
57871y	КТ-2024	Фритюрница Kitfort КТ-2024	Фритюрница, Kitfort, КТ-2024,Мощность 1450–1600 Вт, Ёмкость чаши 5,3 л , Съёмная чаша нет	36490.0	19120.0	48%	1 шт - Вмятина на верхней части упаковки. Без следов эксплуатации.  Полный комплект. 1 шт - Повреждена упаковка	1.0	
63428y	КТ-2017	Фритюрница Kitfort КТ-2017	Фритюрница, Kitfort, КТ-2017, Ёмкость чаши 1.5 л, 3 температурных режима, Температура 130-190°C, Длина шнура 0.99 м, Мощность 900 Вт, Стальной	24090.0	12800.0	47%	Небольшое повреждение коробки	1.0	
Хлебопечки									
46663y	RBM-1908	Хлебопечь Redmond RBM-1908 Черный	Хлебопечь, Redmond, RBM-1908, 450 Вт, Количество программ 19, Таймер, Смотровое окно, Размер выпечки 500/750гр, Выбор корочки, Черный	77990.0	20000.0	74%	1 шт - Небольшая царапина на стекле. 1 шт - Небольшие загрязнения, Отсутствуют: мерный стакан, крюк, Лопасть (запасная)	2.0	
56753y	23042036001	Хлебопечь Russell Hobbs 18036-56	Хлебопечь, Russell Hobbs, 18036-56, Мощность 660Вт, 12 программ, Таймер отсрочки выпечки на 13 часов, Комбинации программ, Автоматическое поддержание тепла в течение 1 ч, ЖК-дисплей. Размеры буханки 450гр-1кг, Белый	89990.0	45900.0	49%	Повреждение упаковки, потертости и царапины. 	2.0	
46254y	CT-1410 BLACK	Хлебопечь Centek CT-1410 Черный	Хлебопечь, Centek, CT-1410, 750г, 650Вт, 19 программ, Таймер, LCD, Окошко, Нерж. Черный	56092.0	30400.0	46%	Слабозаметные заводские потертости, небольшое поврежденеи коробки	2.0	
Вытяжки									
62987y	CT-1801-60 INOX	Вытяжка Centek CT-1801-60 INOX	Вытяжка, Centek, CT-1801-60, Козырьковая, Ширина 60 см, 350 м3/час (120 Вт), 3 скорости, LED, Стальной	36542.0	14169.0	61%	Не родная упаковка, потертости и царапины	1.0	
56336y	CT-1801-50 White	Вытяжка Centek CT-1801-50 White	Вытяжка, Centek, CT-1801-50 White, Козырьковая, Ширина 50см, 350 м3*час, 81,5W, 3 скорости, LED, Белый	34842.0	13600.0	61%	1 - Повреждение упаковки, небольште повреждения на тканевом фильтре. 1 - замятие корпуса	2.0	
56337y	CT-1801-60 Black	Вытяжка Centek CT-1801-60 Black	Вытяжка, Centek, CT-1801-60, Козырьковая, Ширина 60см, 350 м3*час, 120W, 3 скорости, LED, Black	36542.0	20000.0	45%	повреждена упаковка	1.0	
Соковыжималки									
57897y	КТ-1128	Соковыжималка шнековая Kitfort КТ-1128	Соковыжималка шнековая, Kitfort, КТ-1128, Мощность 150 Вт, Емкость контейнера для сока 0,8 л, Емкость контейнера для жмыха 0,65 л, Цвет черный	47990.0	24000.0	50%	С витрины, небольшие загрязнения	1.0	
Электрические чайники									
56376y	CT-1005 White	Чайник электрический Centek CT-1005 Белый	Чайник электрический, Centek, CT-1005, 1л, 1100W, регулировка t° на базе, Поддержание t°, Функция Barista, Белый	25492.0	9600.0	62%	повреждена инструкция, не большое замятие коробки	1.0	
56298y	CT-0092 B	Самовар Centek CT-0092 B (черн/рисунок/золото)	Самовар, Centek, CT-0092 B, 4.0л, 2100W, поддерж.t, + LED индикатор, Керам зав, Рисунок, Золото, Черный	33992.0	20000.0	41%	Потертости и царапины, повреждение упаковки. Устройство после сервисного обслуживания	1.0	
55682y	RK-M1561	Чайник электрический Redmond RK-M1561 Белый	Чайник электрический, Redmond, RK-M1561, Механический, Мощность 1500W, Объем 1,5л, Автоотключение, Белый	15990.0	4000.0	75%	 2шт - После АСЦ	2.0	
56739y	25040016001	Чайник электрический Russell Hobbs 26382-70	Чайник электрический, Russell Hobbs, 26382-70, Мощность 2400Вт, Объем 1.7л, Нержавеющая сталь, Внутренняя подсветка, Автоотключение: при закипании, при отсутствии воды, при снятии с подставки, Серый	37890.0	14170.0	63%	"Повреждение упаковки, мелкие царапины
"	1.0	
55539y	23405016002	Чайник электрический Russell Hobbs 20412-70	Чайник электрический, Russell Hobbs, 20412-70, Объем 1.7л, Нержавеющая сталь, Пластик, Защита от перегрева, Выключение при снятии с базы, Мощность 2400W, Красный	49250.0	19890.0	60%	Небольшие потертости на устройстве, Небольшое повреждение коробки.	1.0	
55538y	23012016002	Чайник электрический Russell Hobbs 21150-70	Чайник электрический, Russell Hobbs, 21150-70, Объем 1.7л, Пластик, Установка температуры нагрева 40-100°C, Защита от перегрева, Выключение при снятии с базы, Мощность 2200W, Белый	36990.0	18900.0	49%	Вмятина на верхней части упаковки. Без следов эксплуатации.  Полный комплект.	2.0	
55542y	23678016002	Чайник электрический Russell Hobbs 24361-70	Чайник электрический, Russell Hobbs, 24361-70, Объем 1.7л, Пластик, Защита от перегрева, Выключение при снятии с базы, Мощность 2400W, Черный	37990.0	19890.0	48%	Повреждение и замятие упаковки. Потёртости и царапины. 	1.0	
56725y	23998016001	Чайник электрический Russell Hobbs 26960-70	Чайник электрический, Russell Hobbs, 26960-70, Мощность 2400Вт, Объем 1.7л, Нержавеющая сталь, Внутренняя подсветка, Автоотключение: при закипании, при отсутствии воды, при снятии с подставки, Бежевый	59990.0	23778.0	60%	"Повреждение упаковки
"	1.0	
55549y	25019016001	Чайник электрический Russell Hobbs 26420-70	Чайник электрический, Russell Hobbs, 26420-70, Объем 1.5л, Нержавеющая сталь, Установка температуры нагрева 100°C, Защита от перегрева, Выключение при снятии с базы, Мощность 2400W, Серебристый	69990.0	38457.0	45%	Повреждение и замятие упаковки. Потёртости и царапины. 	2.0	
67217y	MJDSH06-A	Чайник электрический Xiaomi Electric Kettle 2 Lite	Чайник электрический, Xiaomi, Electric Kettle 2 Lite / MJDSH06-A / BHR9036EU, Удобный замок крышки, Белый	13197.0	10000.0	24%	3 - коробки с повреждением	2.0	
77370y	MJDSH07YM-А	Чайник электрический Xiaomi Double Wall Electric Kettle	Чайник электрический, Xiaomi, Double Wall Electric Kettle, (MJDSH07YM-А), 1800 Вт, 1,7 литров, Нержавеющая сталь, Серебристый	17029.0	15322.0	10%	1 - Повреждение упаковки. Загрязнение и потёртости. акт 82050	1.0	
Термопоты									
57245y	КТ-2502	Термопот Kitfort КТ-2502	Термопот, Kitfort, КТ-2502, Мощность, Вт 2600, Высота, см 30.6, Объём, л 2.2, Управление Электронное, Материал корпуса Сталь	48990.0	25600.0	48%	Повреждение упаковки, мелкие царапины	1.0	
Кофемашины									
72492y	CME003-EU	Кофемашина Xiaomi Semi-automatic Espresso Machine Серебристый	Кофемашина, Xiaomi, Semi-automatic Espresso Machine, (CME003-EU / BHR9797US), Номинальная мощность 1350 Вт, Ёмкость 900 мл, мин. 40 мл, макс. 80 мл, Серебрситый	48863.0	43205.0	12%	"1 - пробита коробка 
1 - Повреждение и замятие упаковки. Потёртости и царапины. Следы эксплуатации. акт 82034"	1.0	
Кофеварки									
56228y	КТ-7130-2	Электрическая турка Kitfort КТ-7130-2 черно-оранжевый	Электрическая турка, Kitfort, КТ-7130-2, Мощность 600W, Объем 600мл, Пластик, Металл, Длина шнура 500см, Черно-оранжевый,	7390.0	4000.0	46%	повреждена упаковка	1.0	
46210y	CT-1145	Кофеварка капельная Centek CT-1145	Кофеварка капельная, Centek, CT-1145, Мощность 900Вт, 1500мл, 3 ур. крепости, LED, Капля стоп, Подогрев, Стальной	33142.0	18800.0	43%	1 шт -  Небольшие потертости на устройстве, повреждена коробка. 1 шт - Повреждена и вскрыта упаковка	1.0	
55551y	25022016001	Кофеварка рожковая Russell Hobbs 26450-56	Кофеварка рожковая, Russell Hobbs, 26450-56, Рожковая, Объем 1.1л, Нержавеющая сталь, Пластик, Давление 15бар, Мощность 1350W, Автоотключение, Индикация готовности к работе, Подача горячей воды для чая, Подогрев чашек, Черный	176990.0	96890.0	45%	Небольшое повреждение внутренней коробки	2.0	
68443y	КТ-727	Кофеварка капельная Kitfort КТ-727	Кофеварка капельная, Kitfort, КТ-727, Объем 1.5л, Используемый кофе молотый, Противокапельная система, Поддержание температуры 40 мин, Мощность 900 Вт, Стальной	24490.0	12000.0	51%	повреждена упаковка	1.0	
72617y	КТ-779	Капучинатор Kitfort КТ-779	Капучинатор, Kitfort, КТ-779, 4 режима, Объем 300 мл, Антипригарное покрытие, Мощность 500 Вт, Длина шнура 0.8м, Черный	21890.0	15000.0	31%	Небольшое замятие коробки	1.0	
66228y	КТ-7251	Кофеварка капельная Kitfort КТ-7251	Кофеварка капельная, Kitfort, КТ-7251, Градуировка колбы, Материал колбы стекло, Используемый кофе молотый, Фильтр нейлоновый, Тип управления сенсорное , Цвет зеленый	28490.0	18400.0	35%	повреждена упаковка	1.0	
58068y	CM700	Кофеварка капельная Redmond CM700 Черный	Кофеварка капельная, Redmond, CM700, Электромеханическое управление, Тип используемого кофе молотый, Объем кувшина 1,2л, Автоподогрев, Подогрев кувшина, Функция «Анти-капля», Черный	38990.0	14500.0	63%	Царапины на верхней части устройства	2.0	
57272y	КТ-710	Капучинатор Kitfort КТ-710	Капучинатор, Kitfort, КТ-710, Мощность 600 Вт, Ёмкость 730 мл, Пластиковый корпус, Горячее вспенивание, Холодное вспенивание, Подогрев, Черный	33590.0	16800.0	50%	2 шт - Небольшие потертости. Полный комплект.	1.0	
56238y	КТ-7105-2	Кофеварка капсульная Kitfort КТ-7105-2	Кофеварка капсульная, Kitfort, КТ-7105-2, Мощность 1450W, Объем 600мл, Пластик, Давление 19 бар, Черно-салатовая	47890.0	23200.0	52%	1 шт - Не большое повреждение коробки. 1 шт - Повреждение упаковки, мелкие царапины	1.0	
56237y	КТ-7105-1	Кофеварка капсульная Kitfort КТ-7105-1	Кофеварка капсульная, Kitfort, КТ-7105-1, Мощность 1450W, Объем 600мл, Пластик, Давление 19 бар, Черно-фиолетовая	47890.0	31120.0	35%	Небольшие потертости. Без следов эксплуатации.Полный комплект.	1.0	
55965y	КТ-730	Кофеварка капельная Kitfort КТ-730	Кофеварка капельная, Kitfort, КТ-730, Ёмкость резервуара 0.6л, Мощность 650–750 Вт, Металл, Пластик, Кнопочный тип управления, Черный	13190.0	9500.0	28%	Небольшое повреждение коробки	1.0	
Весы электронные									
55416y	SC-BS33E109	Весы Scarlett SC-BS33E109	Весы, Scarlett, SC-BS33E109, Электронные, Максимальный вес 180кг, Материал корпуса стекло, Лазурный	6900.0	4000.0	42%	Повреждения, загрязнения на коробке.	1.0	
Медицинские приборы									
37580y	NB-218C EU	Компактный компрессорный небулайзер iHealth NEb	Компактный компрессорный небулайзер, iHealth, NEb NB-218C EU, Давление 100kPa, Ряд свободного течения: 4Л/мин, Емкость 10мл, Скорость распыления 0,2 мл/мин	9480.0	4162.0	56%	"С витрины.  Вскрыта коробка.
Небольшое повреждение упаковки."	10.0	
37588y	KD-723	Умный наручный тонометр iHealth PUSH Wrist Smart Blood Pressure Monitor CONNECTABLE	Умный наручный тонометр, iHealth, KD-723, PUSH Wrist Smart Blood Pressure Monitor CONNECTABLE, Bluetooth 4.0, Диапазон измерения: Sys: 60-260mmHg / Dia: 40-199mmHg / Pouls: 40-180bts/min	12006.0	4710.0	61%	"1. С витрины. Вскрыта коробка.Потеря товарного вида
2.Повреждена упаковка, был недолгое время в эксплуатации."	3.0	
Плойки									
55505y	45607560100	Плойка конусная Remington CI83V6	Плойка конусная, Remington, CI83V6, 48W, Диаметр щипцов 19-28мм, Время нагрева 30 сек, Диапазон температуры нагрева 150-210 °С, Материал покрытия керамика, Серебристый	36990.0	16375.0	56%	Повреждена упаковка. 	1.0	
55508y	45671560100	Плойка конусная Remington CI91W1B	Плойка конусная, Remington, CI91W1B, 37W, Диаметр щипцов 13-25 мм, Количество температурных режимов 10, Диапазон температуры нагрева 120-210 °С, Материал покрытия керамика, Длина шнура 300см, Черный	35990.0	17290.0	52%	"Вскрыта коробка. 
"	1.0	
55503y	45575560100	Плойка конусная Remington CI91X1	Плойка конусная, Remington, CI91X1, 54W, Диаметр щипцов 25-38мм, Количество температурных режимов 11, Диапазон температуры нагрева 120-210 °С, Длина шнура 300 см, Бронзовый	38990.0	13000.0	67%	Повреждение упаковки, 	1.0	
55510y	45729560100	Плойка конусная Remington CI98X8	Плойка конусная, Remington, CI98X8, Мощность 56W, 9 режимов нагрева, Температура нагрева 130- 210°C, Автоотключение, Серебристый	75990.0	30490.0	60%	Вскрыта загрязнена упаковка	1.0	
Уход за телом и лицом									
57744y	КТ-3137	Косметическое зеркало Kitfort КТ-3137	Косметическое зеркало, Kitfort, КТ-3137, Мощность 5 Вт, Длина шнура USB Type-C 0,8 м, Время работы при максимальной яркости подсветки 4 ч, Цвет белый	29190.0	14000.0	52%	 Отсутствует защитная плёнка, не большие загрязнения на ножке	1.0	
57743y	КТ-3136	Косметическое зеркало Kitfort КТ-3136	Косметическое зеркало, Kitfort, КТ-3136, Мощность 4 Вт, Цветовая температура подсветки 4250±250 К, Индекс цветопередачи 80, Белый	19690.0	9600.0	51%	Небольшие пятна на зеркале. Отклеивалась защитная пленка, небольшое повреждение коробки	1.0	
Фены									
48568y	DEM-CF15W	Фен для волос Deerma DEM-CF15W Синий	Фен для волос, Deerma, DEM-CF15W, 2 температурных режима, 2 скоростных режима, 1600-2000 Вт, Магнитная насадка, Синий	10893.0	9323.0	14%	" 1 - Повреждение упаковки, царапина на корпусе
2 - Вскрыта упаковка. Полностью в рабочем состоянии.
 3 - Не большое повреждение коробки
3- Вскрыта коробка. Не большое повреждение коробки.

1 - Вскрыта коробка, поврежден внутренний транспортировочный блистер"	13.0	
55750y	CF50 (pink)	Фен для волос Deerma DEM-CF50 Розовый	Фен для волос, Deerma, DEM-CF50, Ионизация, Контроль температуры, 1500 Вт, Бесщеточный двигатель, 120 000 об/мин, Магнитная насадка, Розовый	18000.0	12926.0	28%	1 - Вскрыта и повреждена коробка. акт 82053	1.0	
55532y	45675560100	Фен Remington AC9140B	Фен, Remington, AC9140B, Мощность 2400W, 2 скоростных режима, 3 температурных режима, AC мотор, Длина шнура электропитания 300см, Черный	49990.0	23690.0	53%	Повреждена упаковка. Небольшие потертости. Без следов эксплуатации. Полный комплект.	1.0	
59795y	AHD9	Фен для волос Dreame Hair Miracle High Speed Hair Dryer	Фен для волос, Dreame, Hair Miracle High Speed Hair Dryer, AHD9, 1600W, 130000 rmp, Скорость 70 м/с, Уровень шума менее 76дБ, LCD дисплей, 300 миллионов негативных ионов, Два уровня скорости, 4 уровня подачи воздуха, Температурный контроль, Вес около 550 гр, 5 насадок в комплекте, Золотистый/оранжевый	137990.0	82946.0	40%	 P2302A41SEU0056815  Повреждение упаковки, мелкие царапины	1.0	
Электрические зубные щетки и ирригаторы									
58362y	N10	Сменные насадки для ирригатора Oclean N10 Green	Сменные насадки для ирригатора, Oclean, N10, Совместимость ирригатор Oclean W10, Пластик, 2 шт в упаковке, Зеленый	3529.0	1500.0	57%	Повреждена коробка	1.0	
66155y	C02000058	Ирригатор Oclean Oral Irrigator А10 Белый	Ирригатор, Oclean, Oral Irrigator А10, C02000058, Белый/Серый	22214.0	9570.0	57%	Вскрыта упаковка, потертости. Витрина.	1.0	
66154y	C02000059	Ирригатор Oclean Oral Irrigator А10 Зеленый	Ирригатор, Oclean, Oral Irrigator А10, C02000059, Зеленый	22214.0	9635.0	57%	"Вскрыта коробка.
Отсутствует шубер. На устройстве обнаружены потёртости и царапины. Комплектация неполная, отсутствуют насадки."	1.0	
