Код	Артикул	Наименование	Полное наименование	Цена дил.	Цена уцен.	Процент	Причина	Остаток	Заказ
58871y	55020BGY	Смарт часы Huawei Watch GT 4 PNX-B19 46mm Green Woven Strap	"Смарт часы, Huawei, Watch GT 4 PNX-B19 46mm, Дисплей 1.43"" цветной AMOLED-экран, Разрешение 466 x 466, Водонепроницаемые (5 АТМ), Вес 48 гр, (Green Woven Strap) Зелёный"	89990.0	40606.0	55%	"Экран и безель покрыты глубокими царапинами. Следы эксплуатации, потертости, загрязнения на корпусе и ремешке. Вмятины, загрязнения на коробке.
Царапины, потертости на безеле. Следы эксплуатации, потертости, царапины, загрязнения на устройстве. Вмятины, загрязнения на коробке.
Следы эксплуатации, потертости  на устройстве. Вмятины, загрязнения на коробке. Отсутствует зарядный кабель.

"	1.0	
67341y	55020DGK	Смарт часы Huawei Watch GT 5 VLI-B19 46mm Brown Composite Leather Strap	"Смарт часы, Huawei, Watch GT 5 VLI-B19L 46mm, Дисплей 1.43"" цветной AMOLED-экран, Разрешение 466 x 466, Водонепроницаемые (5 АТМ), Вес 48 гр, (Brown Composite Leather Strap) Коричневый"	84990.0	52551.0	38%	Диагностика. Сброс на заводские настройки. Заряд АКБ до 100%.	1.0	
67353y	55020DGW	Смарт часы Huawei Watch GT 5 Pro JNA-B29 42mm White Fluoroelastomer Strap	"Смарт часы, Huawei, Watch GT 5 Pro JNA-B29F 42mm, Дисплей 1.32"" цветной AMOLED-экран, Разрешение 466 x 466, Водонепроницаемые (5 АТМ), Вес 48 гр, (White Fluoroelastomer Strap) Белый"	149990.0	90775.0	39%	Диагностика. Сброс на заводские настройки. Заряд АКБ до 100%.	1.0	
67355y	55020DGV	Смарт часы Huawei Watch GT 5 Pro JNA-B29 42mm White Ceramic Strap	"Смарт часы, Huawei, Watch GT 5 Pro JNA-B29С 42mm, Дисплей 1.32"" цветной AMOLED-экран, Разрешение 466 x 466, Водонепроницаемые (5 АТМ), Вес 48 гр, (White Ceramic Strap) Белый"	199990.0	114662.0	43%	Диагностика. Сброс на заводские настройки. Заряд АКБ до 100%.	1.0	
58887y	55028857	Смарт часы Huawei Watch GT 3 Pro FRG-B19 42mm White Leather Strap	"Смарт часы, Huawei, Watch GT 3 Pro FRG-B19 42mm, Дисплей 1.32"" цветной AMOLED-экран, Водонепроницаемые IP68 5ATM, вес 50г, (White Leather Strap) Белый"	139990.0	61800.0	56%	Следы эксплуатации, потертости, загрязнения на устройстве. Вмятины, загрязнения на коробке.	1.0	
58918y	55027637	Смарт часы Huawei Kid Watch 4 Pro ASN-AL10 Pink	"Смарт часы, Huawei, Kid Watch 4 Pro ASN-AL10, Дисплей 1.41"" цветной AMOLED-экран, Разрешение 320 x 360, Водонепроницаемые (5 АТМ), Вес 57,5 гр, (Pink) Розовый"	69990.0	45000.0	36%	Следы эксплуатации, потертости, загрязнения на устройстве. Вмятины, загрязнения на коробке.	1.0	
58926y	55028915	Смарт часы Huawei Watch Fit 2 Active YDA-B09S Sakura Pink	"Смарт часы, Huawei, Watch Fit 2 Active YDA-B09S, Дисплей 1,74"" цветной AMOLED-экран, Разрешение 336 x 480, Водонепроницаемые (5 АТМ), Вес 26 гр, (Sakura Pink) Розовый"	59990.0	20000.0	67%	Следы эксплуатации, потертости, загрязнения на устройстве. Вмятины, загрязнения на коробке.	1.0	
58928y	55020ATD	Смарт часы Huawei Watch Fit Special Edition STA-B39 Black	"Смарт часы, Huawei, Watch Fit Special Edition STA-B39, Дисплей 1.64"" цветной AMOLED-экран, Разрешение 456 x 280, Водонепроницаемые (5 АТМ), Вес 21 гр, (Black) Чёрный"	39990.0	15000.0	62%	Следы эксплуатации, потертости, загрязнения на устройстве. Загрязнения на коробке.	1.0	
40205y	M2109W1	Смарт часы Redmi Watch 2 Lite Black	"Смарт часы, Xiaomi, Redmi Watch 2 Lite, M2109W1 / BHR5436GL, Дисплей 1.55"" TFT LCD, Разрешение 320 x 360, Водонепроницаемые (5 АТМ), GPS+GLONASS, Galileo, BDS, Батарея 262 мАч, Вес 35 гр, Черный"	9990.0	8000.0	20%	Повреждена упаковка. Небольшие потертости. Полный комплект.	1.0	
67166y	M2320W1	Смарт часы Xiaomi Watch 2 Titan Gray Case With White Leather Strap	"Смарт часы, Xiaomi, Watch 2, M2320W1 / BHR9306GL, Дисплей 1.43"" AMOLED, Разрешение 466 x 466, Водонепроницаемые (5 АТМ), GPS+GLONASS, Galileo, BDS, QZSS, Батарея 495 мАч, Совместимость только с Android, Титаново-серый"	74122.0	64862.0	12%	Вскрыта упаковка, потертости.	1.0	
52701y	M2235W1	Смарт часы Redmi Watch 3 Active Black	"Смарт часы, Xiaomi, Redmi Watch 3 Active, M2235W1 / BHR7266GL, Дисплей 1.83"" LCD, Разрешение 390 x 450, Водонепроницаемые (5 АТМ), Батарея 289 мАч, Вес 37 гр, Черный"	12990.0	5520.0	58%	следы эксплуатации, потертости, вскрыта коробка 	1.0	
49946y	M2216W1	Смарт часы Redmi Watch 3 Ivory	"Смарт часы, Xiaomi, Redmi Watch 3, M2216W1 / BHR6854GL, Дисплей 1.75"" AMOLED HD, Разрешение 390 x 450, Водонепроницаемые (5 АТМ), GPS+GLONASS, Galileo, BDS, QZSS, Батарея 289 мАч, Вес 37 гр, Бежевый"	29990.0	15983.0	47%	Вскрыта упаковка, без следов эксплуатации 	1.0	
40206y	M2109W1	Смарт часы Redmi Watch 2 Lite Ivory	"Смарт часы, Xiaomi, Redmi Watch 2 Lite, M2109W1 / BHR5439GL, Дисплей 1.55"" TFT LCD, Разрешение 320 x 360, Водонепроницаемые (5 АТМ), GPS+GLONASS, Galileo, BDS, Батарея 262 мАч, Вес 35 гр, Бежевый"	9990.0	8000.0	20%	Повреждена упаковка. Небольшие потертости. Полный комплект.	1.0	
Фитнес браслеты 									
69291y	M2435B1	Фитнес браслет Xiaomi Smart Band 9 Active Black	"Фитнес браслет, Xiaomi, Mi Smart Band 9 Active, M2435B1 / BHR9444GL, 1.47"" TFT, Разрешение экрана 172 x 320, Аккумулятор 300 мАч, Водонепроницаемость 5 АТМ, Чёрный"	10560.0	9948.0	6%	Потеря товарного вида — потертости. 	1.0	
69296y	M2435B1	Фитнес браслет Xiaomi Smart Band 9 Active Pink	"Фитнес браслет, Xiaomi, Mi Smart Band 9 Active, M2435B1 / BHR9917GL, 1.47"" TFT, Разрешение экрана 172 x 320, Аккумулятор 300 мАч, Водонепроницаемость 5 АТМ, Розовый"	10560.0	4286.0	59%	Повреждение упаковки. Потёртости, Потеря емкости АКБ.	1.0	
69298y	M2402B1	Фитнес браслет Xiaomi Smart Band 9 Pro Obsidian Black	"Фитнес браслет, Xiaomi, Smart Band 9 Pro, M2402B1 / BHR8710GL, 1.74"" AMOLED, Разрешение экрана 360 x 480, Аккумулятор 350 мАч, Водонепроницаемость 5 АТМ, Черный"	33032.0	27674.0	16%	Потеря товарного вида.	2.0	
77889y	M2459B1	Фитнес браслет Xiaomi Smart Band 10 Midnight Black	"Фитнес браслет, Xiaomi, Mi Smart Band 10, M2459B1/BHR07PYGL, 1.72"" AMOLED, Разрешение экрана 212 x 520, Аккумулятор 233 мАч, LiPo, Водонепроницаемость 5 АТМ, Android 8.0 или iOS 12.0, Черный"	20937.0	19590.0	6%	Повреждение замятие упаковки. Потеря умкости АКБ, Потертости. Витрина	1.0	
77891y	M2459B1	Фитнес браслет Xiaomi Smart Band 10 Glacier Silver	"Фитнес браслет, Xiaomi, Mi Smart Band 10, M2459B1/BHR07PSGL, 1.72"" AMOLED, Разрешение экрана 212 x 520, Аккумулятор 233 мАч, LiPo, Водонепроницаемость 5 АТМ, Android 8.0 или iOS 12.0, Серебристый"	20937.0	18012.0	14%	Потеря товарного вида	1.0	
44147y	M2141B1	Фитнес браслет Xiaomi Smart Band 7 Pro Black	"Фитнес браслет, Xiaomi, Smart Band 7 Pro, M2141B1 / BHR5970GL, 1.64"" AMOLED, Разрешение экрана 280 x 456, Аккумулятор 235 мАч, Водонепроницаемость 5 АТМ, Черный"	15490.0	15418.0	0%	"следы эксплуатации, царапины, отсутсвует кабель
Потеря товарного вида — потертости, вскрыта упаковка. "	2.0	
53294y	M2239B1	Фитнес браслет Xiaomi Smart Band 8 Gold	"Фитнес браслет, Xiaomi, Mi Smart Band 8, M2239B1 / BHR7166GL, 1.62"" AMOLED, Разрешение экрана 192 x 490, Аккумулятор 190 мАч, Водонепроницаемость 5 АТМ, Золотистый"	15690.0	6701.0	57%	следы эксплуатации, царапины	2.0	
44662y	M2141B1	Фитнес браслет Xiaomi Smart Band 7 Pro White	"Фитнес браслет, Xiaomi, Smart Band 7 Pro, M2141B1 / BHR6076GL, 1.64"" AMOLED, Разрешение экрана 280 x 456, Аккумулятор 235 мАч, Водонепроницаемость 5 АТМ, Белый"	15990.0	15512.0	3%	Повреждена упаковка.  Состояние Б/У, потертости, загрязнения. Полный комплект.	2.0	
Аксессуары									
56692y	M2255AM1	Клипса для бега для Xiaomi Smart Band 8	Клипса для бега, Xiaomi, Smart Band 8, BHR7309GL, Зелёный	3553.0	1410.0	60%	Повреждение упаковки. Потёртости, Потеря товарного вида	2.0	
56693y	M2256AM1	Кулон-подвеска для Xiaomi Smart Band 8	Кулон-подвеска, Xiaomi, Smart Band 8, BHR7304GL	7916.0	3142.0	60%	Следы эксплуатации, повреждения на коробке. Потеря товарного вида	2.0	
56234y	M2252AS1	Сменный плетёный браслет для Xiaomi Smart Band 8 Yellow	Сменный плетёный браслет, Xiaomi, Smart Band 8, BHR7305GL, Жёлтый	9517.0	7660.0	20%	Повреждена и вскрыта упаковка.	2.0	
56248y	M2252AS1	Сменный плетёный браслет для Xiaomi Smart Band 8 Green	Сменный плетёный браслет, Xiaomi, Smart Band 8, BHR7306GL, Зелёный	9517.0	7660.0	20%	Повреждена и вскрыта упаковка. 	1.0	
67327y	M2254AS1	Сменный цепной браслет для Xiaomi Smart Band 9 Mystic Rose	Сменный цепной браслет, Xiaomi, Smart Band 9, BHR8729GL, Розовый	12909.0	5381.0	58%	замятие упаковки.	1.0	
Ноутбуки									
76480y	AORUS MASTER 16 BYHC5KZE64SP	Ноутбук Gigabyte AORUS Master 16 QHD 240Hz OLED Ultra9-275HX 32GB 1TB RTX5080 Win11	"Ноутбук, Gigabyte, AORUS Master 16 BYHC5KZE64SP,16"", QHD 2560x1600, OLED, 240Hz, Ultra9-275HX, 32GB DDR5, 1TB SSD Gen4, NVIDIA GeForce RTX5080, 16GB GDDR7, Win11Pro, Черный"	1708551.0	1572000.0	8%	Упаковка вскрыта. Потёртости. Загрязнения. После АСЦ	1.0	
88117y	H7606WM-SR118X	"Ноутбук ASUS ProArt P16 H7606WM-SR118X 16"" 3K 120Hz Ryzen AI 9 HX 370 32GB 2TB RTX5060 Win 11"	"Ноутбук, ASUS, ProArt P16 H7606WM-SR118X, 90NB15L1-M009M0, 16"", 3K 2880x1800, OLED, 120Hz, Ryzen AI 9 HX 370, 32GB LPDDR5X, 2TB SSD M.2, NVIDIA GeForce RTX 5060, 8GB GDDR7, Windows 11 Pro, Черный + Сумка, USB-A to RJ45"	1426201.0	1286255.0	10%	1 - мятая коробка	1.0	
68813y	9S7-15K111-1638	"Ноутбук MSI Cyborg 15 A13VE 15.6"" FHD 144Hz i5-13420H 16GB 512GB RTX4050 DOS"	"Ноутбук, MSI, Cyborg 15 A13VE, MS-15K1, 9S7-15K111-1638, 15.6"", FHD 1920x1080, IPS, 144Hz, Raptor Lake i5-13420H, 16GB DDR5, 512GB SSD Gen4, NVIDIA GeForce RTX 4050, 6GB GDDR6, DOS, Черный"	435792.0	401276.0	8%	После ремонта. Мелкие царапины.	1.0	
82674y	9S7-15Q342-643	"Ноутбук MSI Cyborg 15 B2RWEKG-643XKZ 15,6"" FHD 144Hz Core 5 210H 16GB 512GB RTX5050 DOS"	"Ноутбук, MSI Cyborg 15 B2RWEKG-643XKZ, 9S7-15Q342-643, 15.6"", FHD 1980x1080, IPS, 144Hz, Core 5 210H, 16GB DDR5, 512GB SSD Gen4, NVIDIA GeForce RTX5050, 8GB GDDR7, DOS, Черный"	513573.0	479088.0	7%	1 - Следы эксплуатации, потертости, царапины, загрязнения на устройстве.	1.0	
