Код	Артикул	Наименование	Полное наименование	Цена роз.	Цена сайт
Ноутбуки					
4309	S4025YL0750-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 7.5 м S4025YL0750-P	Патч Корд, SHIP, S4025YL0750-P, Cat.5e, FTP, LSZH, RJ-45, 7.5 м, Жёлтый, Экранированный, Пол. пакет	3220.0	3059.0
4319	S6025BK0750-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 7.5 м S6025BK0750-P	Патч Корд, SHIP, S6025BK0750-P, Cat.6, UTP, LSZH, RJ-45, 7.5 м, Чёрный, Пол. пакет	4382.0	4162.9
4327	S6025BL0750-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 7.5 м S6025BL0750-P	Патч Корд, SHIP, S6025BL0750-P, Cat.6, UTP, LSZH, RJ-45, 7.5 м, Синий, Пол. пакет	4382.0	4162.9
4335	S6025RD0750-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 7.5 м S6025RD0750-P	Патч Корд, SHIP, S6025RD0750-P, Cat.6, UTP, LSZH, RJ-45, 7.5 м, Красный, Пол. пакет	4203.0	3992.85
4340	S6025YL0750-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 7.5 м S6025YL0750-P	Патч Корд, SHIP, S6025YL0750-P, Cat.6, UTP, LSZH, RJ-45, 7.5 м, Жёлтый, Пол. пакет	4203.0	3992.85
4345	S7025BK0750-P	Патч Корд SHIP Cat.6 FTP LSZH RJ-45 7.5 м S7025BK0750-P	Патч Корд, SHIP, S7025BK0750-P, Cat.6, FTP, LSZH, RJ-45, 7.5 м, Чёрный, Экранированный, Пол. пакет	4159.0	3951.0499999999997
1317	S3025BL1000-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 10 м S3025BL1000-P	Патч Корд, SHIP, S3025BL1000-P, Cat.5e, UTP, LSZH, RJ-45, 10 м, Синий, Пол. пакет	4878.0	4634.099999999999
614	S3025RD1000-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 10 м S3025RD1000-P	Патч Корд, SHIP, S3025RD1000-P, Cat.5e, UTP, LSZH, RJ-45, 10 м, Красный, Пол. пакет	4878.0	4634.099999999999
613	S3025YL1000-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 10 м S3025YL1000-P	Патч Корд, SHIP, S3025YL1000-P, Cat.5e, UTP, LSZH, RJ-45, 10 м, Жёлтый, Пол. пакет	4878.0	4634.099999999999
1935	S3025BK1000-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 10 м S3025BK1000-P	Патч Корд, SHIP, S3025BK1000-P, Cat.5e, UTP, LSZH, RJ-45, 10 м, Чёрный, Пол. пакет	4878.0	4634.099999999999
4316	S4025BK1000-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 10 м S4025BK1000-P	Патч Корд, SHIP, S4025BK1000-P, Cat.5e, FTP, LSZH, RJ-45, 10 м, Чёрный, Экранированный, Пол. пакет	3888.0	3693.6
4301	S4025BL1000-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 10 м S4025BL1000-P	Патч Корд, SHIP, S4025BL1000-P, Cat.5e, FTP, LSZH, RJ-45, 10 м, Синий, Экранированный, Пол. пакет	3888.0	3693.6
4292	S4025RD1000-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 10 м S4025RD1000-P	Патч Корд, SHIP, S4025RD1000-P, Cat.5e, FTP, LSZH, RJ-45, 10 м, Красный, Экранированный, Пол. пакет	3692.0	3507.3999999999996
4310	S4025YL1000-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 10 м S4025YL1000-P	Патч Корд, SHIP, S4025YL1000-P, Cat.5e, FTP, LSZH, RJ-45, 10 м, Жёлтый, Экранированный, Пол. пакет	3888.0	3693.6
4320	S6025BK1000-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 10 м S6025BK1000-P	Патч Корд, SHIP, S6025BK1000-P, Cat.6, UTP, LSZH, RJ-45,10 м, Чёрный, Пол. пакет	5097.0	4842.15
4328	S6025BL1000-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 10 м S6025BL1000-P	Патч Корд, SHIP, S6025BL1000-P, Cat.6, UTP, LSZH, RJ-45, 10 м, Синий, Пол. пакет	5152.0	4894.4
1942	S3025BK1500-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 15 м S3025BK1500-P	Патч Корд, SHIP, S3025BK1500-P, Cat.5e, UTP, LSZH, RJ-45, 15 м, Чёрный, Пол. пакет	6937.0	6590.15
4317	S4025BK1500-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 15 м S4025BK1500-P	Патч Корд, SHIP, S4025BK1500-P, Cat.5e, FTP, LSZH, RJ-45, 15 м, Чёрный, Экранированный, Пол. пакет	5894.0	5599.3
4302	S4025BL1500-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 15 м S4025BL1500-P	Патч Корд, SHIP, S4025BL1500-P, Cat.5e, FTP, LSZH, RJ-45, 15 м, Синий, Экранированный, Пол. пакет	5894.0	5599.3
4293	S4025RD1500-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 15 м S4025RD1500-P	Патч Корд, SHIP, S4025RD1500-P, Cat.5e, FTP, LSZH, RJ-45, 15 м, Красный, Экранированный, Пол. пакет	5894.0	5599.3
4311	S4025YL1500-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 15 м S4025YL1500-P	Патч Корд, SHIP, S4025YL1500-P, Cat.5e, FTP, LSZH, RJ-45, 15 м, Жёлтый, Экранированный, Пол. пакет	5894.0	5599.3
